 2016-11-03 22:51:15,532 [P9416/D2/T1] INFO  Umbraco.Core.CoreBootManager - Umbraco 7.5.3 application starting on LAPTOP-016
 2016-11-03 22:51:15,593 [P9416/D2/T1] INFO  Umbraco.Core.PluginManager - Determining hash of code files on disk
 2016-11-03 22:51:15,617 [P9416/D2/T1] INFO  Umbraco.Core.PluginManager - Hash determined (took 23ms)
 2016-11-03 22:51:15,707 [P9416/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of umbraco.interfaces.IApplicationStartupHandler
 2016-11-03 22:51:16,160 [P9416/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of umbraco.interfaces.IApplicationStartupHandler, found 0 (took 452ms)
 2016-11-03 22:51:16,219 [P9416/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter
 2016-11-03 22:51:16,244 [P9416/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter, found 0 (took 24ms)
 2016-11-03 22:51:16,244 [P9416/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.PropertyEditors.IPropertyValueConverter
 2016-11-03 22:51:16,274 [P9416/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.PropertyEditors.IPropertyValueConverter, found 0 (took 29ms)
 2016-11-03 22:51:16,306 [P9416/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Web.Mvc.SurfaceController
 2016-11-03 22:51:16,322 [P9416/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Web.Mvc.SurfaceController, found 0 (took 15ms)
 2016-11-03 22:51:16,325 [P9416/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Web.WebApi.UmbracoApiController
 2016-11-03 22:51:16,340 [P9416/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Web.WebApi.UmbracoApiController, found 0 (took 15ms)
 2016-11-03 22:51:16,391 [P9416/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.Media.IThumbnailProvider
 2016-11-03 22:51:16,408 [P9416/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.Media.IThumbnailProvider, found 0 (took 17ms)
 2016-11-03 22:51:16,409 [P9416/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.Media.IImageUrlProvider
 2016-11-03 22:51:16,435 [P9416/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.Media.IImageUrlProvider, found 0 (took 25ms)
 2016-11-03 22:51:17,825 [P9416/D2/T1] INFO  Umbraco.Core.DatabaseContext - CanConnect = True
 2016-11-03 22:51:18,383 [P9416/D2/T1] INFO  Umbraco.Core.DatabaseContext - CanConnect = True
 2016-11-03 22:51:18,438 [P9416/D2/T1] INFO  Umbraco.Core.DatabaseContext - CanConnect = True
 2016-11-03 22:51:18,566 [P9416/D2/T1] INFO  Umbraco.Web.Cache.CacheRefresherEventHandler - Initializing Umbraco internal event handlers for cache refreshing
 2016-11-03 22:51:18,737 [P9416/D2/T1] INFO  Umbraco.Web.Search.ExamineEvents - Initializing Examine and binding to business logic events
 2016-11-03 22:51:18,737 [P9416/D2/T1] INFO  Umbraco.Web.Search.ExamineEvents - Adding examine event handlers for index providers: 3
 2016-11-03 22:51:18,769 [P9416/D2/T1] INFO  Umbraco.Core.CoreBootManager - Umbraco application startup complete (took 3332ms)
 2016-11-03 22:51:18,964 [P9416/D2/T9] INFO  Umbraco.Core.Sync.ApplicationUrlHelper - ApplicationUrl: http://localhost:53950/umbraco (UmbracoModule request)
 2016-11-03 22:51:19,233 [P9416/D2/T9] INFO  umbraco.content - Load Xml from file...
 2016-11-03 22:51:19,261 [P9416/D2/T9] INFO  umbraco.content - Loaded Xml from file.
 2016-11-03 22:51:20,220 [P9416/D2/T9] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.PropertyEditors.IParameterEditor
 2016-11-03 22:51:20,256 [P9416/D2/T9] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.PropertyEditors.IParameterEditor, found 0 (took 36ms)
 2016-11-03 22:52:19,347 [P9416/D2/T15] INFO  umbraco.BusinessLogic.Log - Log scrubbed.  Removed all items older than 2016-11-02 22:52:19
 2016-11-03 22:52:19,482 [P9416/D2/T12] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.Persistence.Mappers.BaseMapper
 2016-11-03 22:52:19,513 [P9416/D2/T12] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.Persistence.Mappers.BaseMapper, found 0 (took 30ms)
